id,title,uri,availability,categories,productId,price,average_rating,review_count,products_details
GGOEGBJC100199,Google Mesh Bag Blue,https://shop.googlemerchandisestore.com/Google+Redesign/Bags/Google+Mesh+Bag+Blue,IN_STOCK,[Bags],23382,7800,3.0,717,"""장점 : 내용물 확인이 용이하고 빠르게 건조되는 통기성 소재로, 해변이나 헬스장 등 다양한 활동에 적합합니다.\n단점 : 내용물이 외부로 노출되어 사생활 보호가 어렵고, 작은 물건이 빠질 수 있습니다.\n특성 : 내구성이 좋은 100% 폴리에스터 메쉬 소재로 제작되었으며, 조절 가능한 어깨 스트랩과 전면 포켓이 있습니다."""
GGOEGBRC127999,Google Incognito Techpack V2,https://shop.googlemerchandisestore.com/Google+Redesign/Bags/Google+Incognito+Techpack+V2,IN_STOCK,[Bags],34069,114400,3.6,610,"""장점 : 내구성이 뛰어나고 생활 방수 기능이 있으며, 최대 16인치 노트북을 안전하게 보관할 수 있다.\n단점 : 120달러로 가격이 다소 높은 편이다.\n특성 : 재활용 소재로 제작되었으며, 현대적인 전문가를 위한 미니멀하고 세련된 디자인을 가지고 있다."""
GGOEGBRJ114199,Google Utility BackPack,https://shop.googlemerchandisestore.com/Google+Redesign/Bags/Google+Utility+BackPack,IN_STOCK,[Bags],45465,156000,3.5,641,"""장점 : 다양한 수납공간과 패딩 처리된 노트북 슬리브로 뛰어난 수납 및 기기 보호 기능을 제공합니다.\n단점 : 부분 세척만 가능하여 전체적인 관리가 번거로울 수 있습니다.\n특성 : 현대적인 미니멀리스트 디자인과 기능성을 겸비하여 일상 및 비즈니스 환경에 적합합니다."""
GGCOGOCC101199,#IamRemarkable Journal,https://shop.googlemerchandisestore.com/Google+Redesign/Office/IamRemarkable+Journal,IN_STOCK,[Office],31736,10400,4.0,847,"""장점 : 자기 성찰과 개인 성장을 돕도록 설계되었다.\n단점 : 물리적인 제품으로, 디지털 기록의 편리함(검색, 백업 등)이 부족하다.\n특성 : 'IamRemarkable' 캠페인과 연계된 부드러운 촉감의 커버와 192페이지 줄이 있는 내지로 구성된 저널이다."""
GGOEAOAL129199,Android Iconic Pen,https://shop.googlemerchandisestore.com/Google+Redesign/Office/Android+Iconic+Pen,IN_STOCK,[Office],46816,2275,3.5,716,"""장점 : 부드러운 필기감과 편안한 그립감\n단점 : 잉크 색상이 검정색으로 한정됨\n특성 : 메탈 소재로 제작된 리트랙터블 볼펜"""
GGOEGOAH124099,Google Pen Grass Green,https://shop.googlemerchandisestore.com/Google+Redesign/Office/Google+Pen+Grass+Green,IN_STOCK,[Office],33565,2275,3.3,424,"""장점 : 부드러운 필기감과 일관된 쓰기 경험을 제공합니다.\n단점 : 제품 설명에 명시된 단점은 없습니다.\n특성 : 생생한 잔디 녹색(Grass Green) 색상이며 리필이 가능합니다."""
GGOEAAXL129930,Android Pocket Toddler Tee Navy,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Android+Pocket+Toddler+Tee+Navy,IN_STOCK,[Apparel],27087,29900,3.1,356,"""장점 : 부드럽고 편안한 착용감\n단점 : 유아용 사이즈만 제공\n특성 : 안드로이드 로고가 새겨진 주머니가 있음"""
GGOEGAXB135630,Google Toddler Hero Tee Charcoal Black,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Toddler+Hero+Tee+Black,IN_STOCK,[Apparel],46403,31200,4.3,859,"""장점 : 100% 면 소재로 부드럽고 편안함.\n단점 : 단일 색상(블랙) 및 디자인으로 선택의 폭이 좁음.\n특성 : 전면에 구글 로고가 새겨진 유아용 티셔츠."""
GGOEGAYJ136014,Google Youth Hero Tee Grey,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Youth+Hero+Tee+Grey,IN_STOCK,[Apparel],41691,31200,3.4,749,"""장점 : 부드러운 착용감 (100% 링스펀 코튼 소재로 제작되어 편안함)\n단점 : 청소년용으로만 제공됨 (성인 사이즈는 없음)\n특성 : 전면에 구글 로고가 디자인된 회색 티셔츠"""
GGOEGAYR136116,Google Youth Hero Tee Maroon,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Youth+Hero+Tee+Maroon,IN_STOCK,[Apparel],27231,31200,3.3,824,"""장점 : 슈퍼 소프트한 착용감\n단점 : 어린이용 사이즈로 성인 착용 불가\n특성 : 100% 면 소재"""
GGOEGALC161716,Google Land & Sea Women's Eco Tee,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Land+and+Sea+Womens+Eco+Tee+LS+RM,IN_STOCK,[Apparel],29207,32500,3.1,600,"""장점 : 100% 유기농 면으로 제작되어 친환경적이며 부드러운 착용감을 제공합니다.\n단점 : 현재 흰색 한 가지 색상으로만 제공되어 색상 선택의 폭이 좁습니다.\n특성 : 지구의 풍경과 바다를 형상화한 독특한 그래픽 디자인이 특징입니다."""
GGOEGALC161717,Google Land & Sea Women's Eco Tee,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Land+and+Sea+Womens+Eco+Tee+LS+RM,IN_STOCK,[Apparel],36493,32500,3.5,139,"""장점 : 100% 유기농 면으로 제작되어 친환경적이며 부드러운 착용감을 제공합니다.\n단점 : 특정 'Land and Sea' 그래픽 디자인이 모든 사람의 취향에 맞지 않을 수 있습니다.\n특성 : 긴팔 디자인으로 다양한 상황에서 착용하기 좋습니다."""
GGOEAAYL130313,Android Pocket Youth Tee Navy,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Android+Pocket+Youth+Tee+Navy,IN_STOCK,[Apparel],49613,32500,4.0,175,"""장점 : 하루 종일 부드럽고 편안하게 착용할 수 있습니다.\n단점 : 장식 부분은 다림질할 수 없습니다.\n특성 : 100% 면 소재로 제작되었습니다."""
GGOEAAYL130315,Android Pocket Youth Tee Navy,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Android+Pocket+Youth+Tee+Navy,IN_STOCK,[Apparel],23311,32500,3.6,905,"""장점 : 부드럽고 편안하여 일상복으로 적합합니다.\n단점 : 장식 부분은 다림질할 수 없습니다.\n특성 : 주머니에서 안드로이드 로고가 살짝 보이는 디자인입니다."""
GGOEGAYQ118015,Youth Jumbo Print Tee White,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Youth+Jumbo+Print+Tee+White,IN_STOCK,[Apparel],47631,32500,4.2,554,"""장점 : 100% 면 소재로 편안하고 통기성이 좋음.\n단점 : 흰색 단일 색상으로 선택의 폭이 좁음.\n특성 : 전면에 커다란 구글 로고가 인쇄되어 있음."""
GGOEGAYC118313,Google Kids Playful Tee,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Google+Kids+Playful+Tee,IN_STOCK,[Apparel],29235,32500,3.7,556,"""장점 : 부드럽고 편안한 100% 면 소재\n단점 : 비교적 높은 가격\n특성 : 어린이를 위한 구글 로고 디자인 티셔츠"""
GGOEGAYH126915,Stan and Friends 2019 Youth Tee,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Stan+and+Friends+Youth+Tee+Green,IN_STOCK,[Apparel],38144,32500,3.6,266,"""장점 : 100% 면 소재로 부드럽고 편안합니다.\n단점 : 장식 부분 다림질 불가 등 세탁 및 관리에 주의가 필요합니다.\n특성 : 구글 캐릭터 'Stan and Friends'가 그려진 아동용 티셔츠입니다."""
GGOEGAXN127228,Google Beekeepers 2019 Toddler Tee Pink,https://shop.googlemerchandisestore.com/Google+Redesign/ApparelGoogle+Beekeepers+Toddler+Tee+Pink,IN_STOCK,[Apparel],22453,32500,3.3,545,"""장점 : 100% 유기농 면으로 제작되어 아이 피부에 부드럽고 친환경적입니다.\n단점 : 현재 페이지 정보만으로는 색상이나 디자인 선택의 폭이 제한적일 수 있습니다.\n특성 : 구글 로고가 새겨진 귀여운 꿀벌 캐릭터 디자인이 특징입니다."""
GGOEGALC133613,Google Cambridge Campus Ladies Tee,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Cambridge+Campus+Ladies+Tee,IN_STOCK,[Apparel],45562,32500,4.7,107,"""장점 : 부드럽고 편안한 착용감\n단점 : 단일 디자인 및 색상으로 선택의 폭이 좁음\n특성 : 100% 빗질 링스펀 면 소재"""
GGOEGALJ142716,Google Austin Campus Ladies Tee,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Austin+Campus+Ladies+Tee,IN_STOCK,[Apparel],38172,32500,4.6,764,"""장점 : 부드럽고 편안한 착용감\n단점 : 여성용 핏으로 남성에게는 적합하지 않음\n특성 : 100% 코마사 링스펀 면 소재"""
GGOEGALJ149315,Google Kirkland Campus Ladies Tee,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Kirkland+Campus+Ladies+Tee,IN_STOCK,[Apparel],44429,32500,4.8,706,"""장점 : 100% 빗질 링스펀 면 소재로 부드럽고 편안한 착용감을 제공합니다.\n단점 : 특정 캠퍼스 로고 디자인으로 인해 대중적인 매력이 제한적일 수 있습니다.\n특성 : 100% 빗질 링스펀 면 소재로 제작된 클래식 핏의 여성용 티셔츠입니다."""
GGOEGALC153215,Google Mountain View Campus Ladies Tee,https://shop.googlemerchandisestore.com/Google+Redesign/Campus+Collection/Google+Mountain+View+Campus+Ladies+Tee,IN_STOCK,[Apparel],25428,32500,3.3,986,"""장점 : 부드럽고 편안한 착용감 (100% 빗질 링스펀 면 소재)\n단점 : 제한적인 색상 옵션 (헤더 그레이 단일 색상)\n특성 : 구글 마운틴 뷰 캠퍼스 로고가 새겨진 슬림핏 여성용 티셔츠"""
GGOEGAYB113113,Google Youth FC Longsleeve Charcoal,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Youth+FC+Longsleeve+Charcoal,IN_STOCK,[Apparel],25057,39000,4.3,876,"""장점 : 100% 면 소재로 제작되어 편안한 착용감을 제공합니다.\n단점 : 100% 면 소재의 특성상 세탁 시 수축이나 구김이 발생할 수 있습니다.\n특성 : 구글 브랜드 로고가 새겨진 유니섹스 아동용 긴팔 티셔츠입니다."""
