id,title,uri,availability,categories,product_id,price,average_rating,review_count
GGOEGBJA127699,Google Mural Tote,https://shop.googlemerchandisestore.com/Google+Redesign/Bags/Google+Mural+Tote,IN_STOCK,[Bags],31652,23400,4.6,390
GGOEGBJH124599,Google Seaport Tote,https://shop.googlemerchandisestore.com/Google+Redesign/Bags/Google+Seaport+Tote,IN_STOCK,[Bags],23037,83200,4.9,303
GGOEGBRC128099,Google Incognito Zippack V2,https://shop.googlemerchandisestore.com/Google+Redesign/Bags/Google+Incognito+Zippack+V2,IN_STOCK,[Bags],43300,98800,3.6,147
GGOEGBRC128199,Google Incognito Laptop Organizer V2,https://shop.googlemerchandisestore.com/Google+Redesign/Bags/Google+Incognito+Laptop+Organizer+V2,IN_STOCK,[Bags],40321,72800,4.7,292
GGOEGBJC100199,Google Mesh Bag Blue,https://shop.googlemerchandisestore.com/Google+Redesign/Bags/Google+Mesh+Bag+Blue,IN_STOCK,[Bags],23382,7800,3,717
GGCOGBJC100999,#IamRemarkable Tote,https://shop.googlemerchandisestore.com/Google+Redesign/Bags/IamRemarkable+Tote,IN_STOCK,[Bags],28541,10400,4.7,500
GGOEGBBC122499,Google Campus Bike Carry Pouch,https://shop.googlemerchandisestore.com/Google+Redesign/Bags/Google+Google+Campus+Bike+Carry+Pouch,IN_STOCK,[Bags],43446,10400,3.1,283
GGOEGBBJ131999,Google Cork Pencil Pouch,https://shop.googlemerchandisestore.com/Google+Redesign/Office/Google+Cork+Pencil+Pouch,IN_STOCK,[Bags],25416,10400,3.4,406
GGOEGBJC122399,Google Campus Bike Tote Navy,https://shop.googlemerchandisestore.com/Google+Redesign/Bags/Google+Google+Campus+Bike+Tote+Navy,IN_STOCK,[Bags],40303,14300,3.1,944
GGOEGBJD133999,Google Cambridge Campus Tote,https://shop.googlemerchandisestore.com/Google+Redesign/Bags/Google+Cambridge+Campus+Tote,IN_STOCK,[Bags],31534,14300,5,603
GGOEGBJD141499,Google Chicago Campus Tote,https://shop.googlemerchandisestore.com/Google+Redesign/Bags/Google+Chicago+Campus+Tote,IN_STOCK,[Bags],26686,14300,4.7,528
GGOEGBJD143099,Google Austin Campus Tote,https://shop.googlemerchandisestore.com/Google+Redesign/Bags/Google+Austin+Campus+Tote,IN_STOCK,[Bags],25019,14300,3.5,301
GGOEGBJD144399,Google Boulder Campus Tote,https://shop.googlemerchandisestore.com/Google+Redesign/Bags/Google+Boulder+Campus+Tote,IN_STOCK,[Bags],25055,14300,3.9,455
GGOEGBJD146499,Google LA Campus Tote,https://shop.googlemerchandisestore.com/Google+Redesign/Bags/Google+LA+Campus+Tote,IN_STOCK,[Bags],30378,14300,4.9,224
GGOEGBJD148499,Google PNW Campus Tote,https://shop.googlemerchandisestore.com/Google+Redesign/Bags/Google+PNW+Campus+Tote,IN_STOCK,[Bags],34373,14300,4.8,702
GGOEGBBD122099,Google Confetti Accessory Pouch,https://shop.googlemerchandisestore.com/Google+Redesign/Bags/Google+Google+Confetti+Accessory+Pouch,IN_STOCK,[Bags],40823,15600,3.4,261
GGOEGBJD122199,Google Confetti Tote White,https://shop.googlemerchandisestore.com/Google+Redesign/Bags/Google+Google+Confetti+Tote+White,IN_STOCK,[Bags],43840,16900,4.8,491
GGOEGBJQ125099,Google Large Tote White,https://shop.googlemerchandisestore.com/Google+Redesign/Bags/Google+Large+Tote+White,IN_STOCK,[Bags],33273,16900,3.6,881
GGOEGBJH131899,Google Hemp Tote,https://shop.googlemerchandisestore.com/Google+Redesign/Bags/Google+Hemp+Tote,IN_STOCK,[Bags],39665,28600,3.7,545
GGOEGBJC137099,Google Totepak,https://shop.googlemerchandisestore.com/Google+Redesign/Bags/Google+Totepak,IN_STOCK,[Bags],23454,31200,3.8,515
GGOEGBRD128399,Supernatural Paper Lunch Sac,https://shop.googlemerchandisestore.com/Google+Redesign/Bags/Supernatural+Paper+Lunch+Sack,IN_STOCK,[Bags],46387,31200,4.8,725
GGOEABRB130499,Android Iconic Backpack,https://shop.googlemerchandisestore.com/Google+Redesign/Bags/Android+Iconic+Backpack,IN_STOCK,[Bags],27717,32500,3.7,941
GGOEGBJD128499,Supernatural Paper Tote,https://shop.googlemerchandisestore.com/Google+Redesign/Bags/Supernatural+Paper+Tote,IN_STOCK,[Bags],30015,33800,5,652
GGOEGBJJ099699,Google Flat Front Bag Grey,https://shop.googlemerchandisestore.com/Google+Redesign/Bags/Google+Flat+Front+Bag+Grey,IN_STOCK,[Bags],49541,39000,3.8,976
GGOEGCBD142299,Google Cork Tablet Case,https://shop.googlemerchandisestore.com/Google+Redesign/Accessories/Google+Cork+Tablet+Case,IN_STOCK,[Bags],21323,39000,3.3,144
GGOEGBRL124699,Google Bike Mini Backpack,https://shop.googlemerchandisestore.com/Google+Redesign/Bags/Google+Bike+Mini+Backpack,IN_STOCK,[Bags],38643,52000,3.6,811
GGOEGBRC128299,Google Incognito Dopp Kit V2,https://shop.googlemerchandisestore.com/Google+Redesign/Bags/Google+Incognito+Dopp+Kit+V2,IN_STOCK,[Bags],49343,62400,3.8,772
GGOEGBRJ128599,Supernatural Paper Backpack,https://shop.googlemerchandisestore.com/Google+Redesign/Bags/Supernatural+Paper+Backpack,IN_STOCK,[Bags],48984,78000,3.7,450
GGOEGBRC127999,Google Incognito Techpack V2,https://shop.googlemerchandisestore.com/Google+Redesign/Bags/Google+Incognito+Techpack+V2,IN_STOCK,[Bags],34069,114400,3.6,610
GGOEGBRJ114199,Google Utility BackPack,https://shop.googlemerchandisestore.com/Google+Redesign/Bags/Google+Utility+BackPack,IN_STOCK,[Bags],45465,156000,3.5,641
GGOEGBJJ103799,Incognito Messenger,https://shop.googlemerchandisestore.com/Google+Redesign/Bags/Google+Incognito+Messenger+Bag,IN_STOCK,[Bags],33472,71500,5,490
GGCOGOAC101259,#IamRemarkable Pen,https://shop.googlemerchandisestore.com/Google+Redesign/Office/IamRemarkable+Pen,IN_STOCK,[Office],22497,0,5,184
GGOEAOCQ100399,Android Flex Journal White,https://shop.googlemerchandisestore.com/Google+Redesign/Office/Android+Flex+Journal+White,IN_STOCK,[Office],29008,10387,3.3,86
GGOECOLJ164299,Google Cloud Journal,https://shop.googlemerchandisestore.com/Google+Redesign/Stationery/Google+Cloud+Journal,IN_STOCK,[Office],25581,23400,3.2,522
GGOEGGOA017399,Google Maze Pen,https://shop.googlemerchandisestore.com/Google+Redesign/Office/Writing/Maze+Pen.axd,IN_STOCK,[Office],44071,1300,4,483
GGOEGOCR132199,Google ApPeel Journal Red,https://shop.googlemerchandisestore.com/Google+Redesign/Office/Google+ApPeel+Journal+Red,IN_STOCK,[Office],28325,24700,4.8,347
GGOEYOAA101499,YouTube Pen 2-Pack,https://shop.googlemerchandisestore.com/Google+Redesign/Office/YouTube+Pen+2Pack,IN_STOCK,[Office],45941,4537,3.5,480
GGOEGOAH131599,Google Recycled Pen Green,https://shop.googlemerchandisestore.com/Google+Redesign/Office/Google+Recycled+Pen+Green,IN_STOCK,[Office],31422,2600,4.3,856
GGOECOAQ163799,Google Cloud Pen,https://shop.googlemerchandisestore.com/Google+Redesign/Stationery/Google+Cloud+Pen,IN_STOCK,[Office],49551,3900,3.1,989
GGOEGOAH090199,Google Light Pen Green,https://shop.googlemerchandisestore.com/Google+Redesign/Office/Google+Light+Up+Pen+Green,IN_STOCK,[Office],41129,3900,3.6,599
GGOEGOAR090099,Google Light Pen Red,https://shop.googlemerchandisestore.com/Google+Redesign/Office/Google+Light+Up+Pen+Red,IN_STOCK,[Office],27674,3900,3.1,219
GGOEYOLB151999,YouTube Jotter Task Pad,https://shop.googlemerchandisestore.com/Google+Redesign/Stationery/YouTube+Jotter+Task+Pad,IN_STOCK,[Office],43726,3900,3,918
GGOEGABK101099,Google Phone Stand Bamboo,https://shop.googlemerchandisestore.com/Google+Redesign/Office/Google+Phone+Stand+Bamboo,IN_STOCK,[Office],25798,6500,4.9,424
GGOEGABL100799,Google Mousepad Navy,https://shop.googlemerchandisestore.com/Google+Redesign/Accessories/Google+Mouse+Pad+Navy,IN_STOCK,[Office],25211,6500,4.7,680
GGOEGOCA121699,Google Confetti Slim Task Pad,https://shop.googlemerchandisestore.com/Google+Redesign/Office/Google+Google+Confetti+Slim+Task+Pad,IN_STOCK,[Office],21979,7800,3.1,106
GGCOGOCC101199,#IamRemarkable Journal,https://shop.googlemerchandisestore.com/Google+Redesign/Office/IamRemarkable+Journal,IN_STOCK,[Office],31736,10400,4,847
GGOECOAQ164099,White Moleskine Google Cloud Pen,https://shop.googlemerchandisestore.com/Google+Redesign/Stationery/White+Moleskine+Google+Cloud+Pen,IN_STOCK,[Office],35714,10400,4.9,464
GGOEGOCA121599,Google Confetti Task Pad,https://shop.googlemerchandisestore.com/Google+Redesign/Office/Google+Google+Confetti+Task+Pad,IN_STOCK,[Office],25287,14300,3.8,914
GGOEAOCB092899,Android Small Trace Journal Black,https://shop.googlemerchandisestore.com/Google+Redesign/Office/Android+Small+Trace+Journal+Bl,IN_STOCK,[Office],23156,16900,4.4,250
